location,opening_hours,title,lon,lat
Am Saumarkt,We 07:30-14:00,Bauernmarkt Durlach,8.4708768,48.9988247
Vor der Heilig-Geist-Kirche,"Tu, Fr 07:30-14:00",Daxlanden,8.3323837,49.0046859
Auf dem Marktplatz,Mo-Sa 07:30-14:00,Durlach,8.4714722,48.9991056
,"Mo, We, Fr 07:30-14:00",Gottesauer Platz,8.4237841,49.0074213
Auf dem Robert-Sinner-Platz,Th 14:00-18:30,Grünwinkel,8.35588,49.00252
,"Tu, Th, Sa 07:30-14:00",Gutenbergplatz,8.375717,49.008835
Auf dem Elsässer Platz,"We, Sa 07:30-14:00; Fr 07:30-16:00",Knielingen,8.34064,49.030625
,Mo-Fr 09:00-20:00; Sa 09:00-16:00,Kronenplatz,8.409358,49.00869
Am Entenfang,Fr 07:30-14:00,Mühlburg,8.358549,49.010222
Auf dem Neureuter Platz,Fr 07:30-18:00,Neureut,8.382284,49.0445057
Schulhof der Werner-von-Siemens-Schule,Sa 07:30-14:00,Nordweststadt,8.3714946,49.0312032
Parkplatz der ehemaligen Neuapostolischen Kirche,Tu 07:30-14:00,Nordweststadt,8.37004,49.03014
Auf dem Julius-Leber-Platz,Fr 14:00-18:30,Oberreut,8.3621401,48.9857738
Vor der Christ-König-Kirche,"We, Sa 07:30-14:00",Rüppurr,8.4050009,48.9713553
,"Mo, We, Fr 07:30-14:00",Stephanplatz,8.3940901,49.0086757
Am Waldstadtzentrum,We 14:00-18:30; Fr 12:00-18:30; Sa 07:30-14:00,Waldstadt,8.4441821,49.0347051
,"Tu, Fr, Sa 07:30-14:00",Werderplatz,8.4069493,49.0015128
Auf dem Marktplatz,We 16:00-20:00,Abendmarkt,8.40384,49.00916